File:realTest.tsv

Max Regression Slope:		-0.655142857143
Min Regression Slope:		-2.20463698207
Mean Regression Slope:		-1.18659282622
Meadian Regression Slope:	-1.07653988868

Comparison to a slope of: 0Positive Slopes:	0		Neutral Slopes:	0		Negative Slopes:	10

Slope                         Intercept                     Confidence Interval           
-1.01923191095                412.237393115                 (-1.5655943663577521, -0.47286945553464177)
-1.13384786642                415.590887652                 (-1.6162916209903491, -0.65140411184824054)
-0.92942733457                388.936147598                 (-1.3768184732913618, -0.48203619584902213)
-0.935411255411               404.024155844                 (-1.5725642216853433, -0.29825828913716668)
-0.655142857143               397.841578644                 (-1.1521872429921305, -0.15809847129358395)
-1.67304143476                432.971577819                 (-2.1518753765661747, -1.1942074929452664)
-1.17453679654                402.899356421                 (-1.6836501806019584, -0.66542341247163483)
-2.20463698207                482.983960833                 (-2.8766934862535187, -1.5325804778775878)
-1.26649845393                422.567178726                 (-1.7831331874254555, -0.74986372042859506)
-0.874153370439               374.20909462                  (-1.3039645988716748, -0.44434214200649452)
